AD family	Representative protein	subjectid	Phage	Host	TaxID	Source	Pfam ID	Phrog ID
APIS003	AAB36891.1	AAB36891.1	plasmid pKM101 of E. coli	Escherichia coli	562	NCBI	PF07275.14	phrog_2059
APIS029	YP_002300464.1	AB605730_00047	Bacillus phage SP-10	Bacillus	1386	INPHARED	PF11195.11	phrog_2709,phrog_30130,phrog_872,phrog_1048
APIS024	UPI13470.1	AB930182_00033	Bacillus phage SPG24	Bacillus	1386	INPHARED		phrog_23843,phrog_2428
APIS032	YP_007947949.1	AF064539_00023	Escherichia phage N15	Escherichia	561	INPHARED		phrog_1119
APIS022	NP_861724.1	AF158101_00036	Escherichia phage T4	Escherichia	561	INPHARED		phrog_3781,phrog_8539,phrog_4122
APIS030	YP_006479.1	AF503408_00013	Enterobacteria phage P7	Enterobacteria	543	INPHARED	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_11801,phrog_21007
APIS031	YP_006494.1	AF503408_00022	Enterobacteria phage P7	Enterobacteria	543	INPHARED	PF18788.4,PF18789.4	phrog_21969,phrog_1926,phrog_1639,phrog_26978,phrog_8883
APIS021	NP_059639.1	AF527608_00013	Salmonella phage P22-pbi	Salmonella	590	INPHARED		phrog_7745,phrog_10966
APIS035	YP_009790938.1	AJ604530_00025	Escherichia phage Bf23	Escherichia	561	INPHARED		phrog_3972,phrog_16544
APIS035	YP_009790938.1	AJ604531_00024	Salmonella phage 5	Salmonella	590	INPHARED		phrog_3972,phrog_16544
APIS004	ANA48877.1	ANA48877.1	PaMx33 of Pseudomonas aeruginosa	Pseudomonas aeruginosa	287	NCBI		phrog_29522,phrog_717
APIS017	NP_049811.1	AP011113_00200	Escherichia phage AR1	Escherichia	561	INPHARED	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS033	YP_009168126.1	AP012540_00031	Stx2-converting phage Stx2a_WGPS8			INPHARED	PF14354.9	phrog_6422,phrog_599
APIS002	NP_049728.1	AP014714_00126	Edwardsiella phage PEi20	Edwardsiella	635	INPHARED		phrog_717,phrog_26803
