family_ID	protein_ID	inhibited_defense_system(inferred from seed proteins in the family)	clan_ID	clan_inhibited_defense_system(inferred from families with seed proteins)
APIS001	IMGVR_UViG_2974673286_000001|2974673286|2974673417	pyrimidine cyclase system for antiphage resistance (Pycsar)	CLAN001	pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001	IMGVR_UViG_3300027628_000019|3300027628|Ga0209463_100018292	pyrimidine cyclase system for antiphage resistance (Pycsar)	CLAN001	pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001	IMGVR_UViG_3300049046_000017|3300049046|Ga0498743_000341_2770_3534	pyrimidine cyclase system for antiphage resistance (Pycsar)	CLAN001	pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001	JN638751_00385	pyrimidine cyclase system for antiphage resistance (Pycsar)	CLAN001	pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001	KF669652_00121	pyrimidine cyclase system for antiphage resistance (Pycsar)	CLAN001	pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001	KM236245_00126	pyrimidine cyclase system for antiphage resistance (Pycsar)	CLAN001	pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001	KY368640_00118	pyrimidine cyclase system for antiphage resistance (Pycsar)	CLAN001	pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001	LT960608_00153	pyrimidine cyclase system for antiphage resistance (Pycsar)	CLAN001	pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001	MH606185_00128	pyrimidine cyclase system for antiphage resistance (Pycsar)	CLAN001	pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001	MT151604_00140	pyrimidine cyclase system for antiphage resistance (Pycsar)	CLAN001	pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001	MW419085_00133	pyrimidine cyclase system for antiphage resistance (Pycsar)	CLAN001	pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001	MW419086_00121	pyrimidine cyclase system for antiphage resistance (Pycsar)	CLAN001	pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001	MW419087_00140	pyrimidine cyclase system for antiphage resistance (Pycsar)	CLAN001	pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001	MW749002_00188	pyrimidine cyclase system for antiphage resistance (Pycsar)	CLAN001	pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001	MW749007_00191	pyrimidine cyclase system for antiphage resistance (Pycsar)	CLAN001	pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001	MZ501263_00147	pyrimidine cyclase system for antiphage resistance (Pycsar)	CLAN001	pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001	MZ501265_00143	pyrimidine cyclase system for antiphage resistance (Pycsar)	CLAN001	pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001	OK349510_00018	pyrimidine cyclase system for antiphage resistance (Pycsar)	CLAN001	pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001	OM728301_00121	pyrimidine cyclase system for antiphage resistance (Pycsar)	CLAN001	pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001	OM728302_00121	pyrimidine cyclase system for antiphage resistance (Pycsar)	CLAN001	pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001	OM728303_00122	pyrimidine cyclase system for antiphage resistance (Pycsar)	CLAN001	pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001	OM982669_00151	pyrimidine cyclase system for antiphage resistance (Pycsar)	CLAN001	pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001	OM982671_00150	pyrimidine cyclase system for antiphage resistance (Pycsar)	CLAN001	pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001	OM982673_00147	pyrimidine cyclase system for antiphage resistance (Pycsar)	CLAN001	pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001	OM982674_00148	pyrimidine cyclase system for antiphage resistance (Pycsar)	CLAN001	pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS001	YP_009840594.1	pyrimidine cyclase system for antiphage resistance (Pycsar)	CLAN001	pyrimidine cyclase system for antiphage resistance (Pycsar)
APIS002	AP014714_00126	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	DQ904452_00113	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	HE956711_00119	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	IMGVR_UViG_2974743505_000001|2974743505|2974743738	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	IMGVR_UViG_2974775753_000001|2974775753|2974775864	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	IMGVR_UViG_3300045988_081160|3300045988|Ga0495776_047593_92644_92907	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	IMGVR_UViG_3300045988_095701|3300045988|Ga0495776_073022_68358_68624	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	IMGVR_UViG_3300045988_118042|3300045988|Ga0495776_119731_85662_85928	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	IMGVR_UViG_3300045988_136812|3300045988|Ga0495776_009634_64378_64647	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	IMGVR_UViG_3300045988_154884|3300045988|Ga0495776_101933_84990_85253	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	JX128259_00115	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	JX561091_00078	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	KF208315_00113	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	KJ477686_00114	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	KM607000_00115	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	KU867876_00115	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	KX130861_00025	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	KX130862_00217	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	KX664695_00063	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	LR215722_00114	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	LR215724_00119	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	LR597654_00083	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	LR597657_00110	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
APIS002	MF327007_00112	cyclic oligonucleotide-based antiphage signaling system (CBASS)	CLAN002	cyclic oligonucleotide-based antiphage signaling system (CBASS)
